"period","model","threshold","false_positive_weight","outcome_prevalence","action","true_positive_definition","false_positive_definition","TP","FP","FN","TN","net_benefit","net_benefit_all","net_benefit_none","standardized_net_benefit","race_ethnicity_group"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.77,3.34782608695652,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",8633,1081,11642,5254,0.188425403983465,-0.0350799797395553,0,0.247299630086313,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.78,3.54545454545455,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",7960,952,12315,5383,0.172293396194185,-0.0821290697277169,0,0.226127115794193,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.79,3.76190476190476,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",7354,837,12921,5498,0.158034036613518,-0.133659025429037,0,0.207412365686102,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.8,4,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",6690,746,13585,5589,0.139270950770387,-0.190341976700489,0,0.182786683107275,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.81,4.26315789473684,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",6107,652,14168,5683,0.125044007990664,-0.252991554421567,0,0.164114478551496,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.82,4.55555555555556,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",5573,563,14702,5772,0.113048561526577,-0.322602196333877,0,0.14837100972736,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.83,4.88235294117647,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",5069,487,15206,5848,0.101138448615072,-0.400402325529987,0,0.132739537245231,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.84,5.25,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",4566,421,15709,5914,0.0885287485907553,-0.487927470875612,0,0.116189889025894,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.85,5.66666666666667,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",4035,362,16240,5973,0.0745459100588751,-0.587122635600652,0,0.0978380600082202,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.86,6.14285714285715,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",3545,307,16730,6028,0.0623503516400923,-0.700488538143556,0,0.081831953496565,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.87,6.6923076923077,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",3108,262,17167,6073,0.0509062527100858,-0.831295348769984,0,0.0668121028170349,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.88,7.33333333333334,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",2689,223,17586,6112,0.0395966428660904,-0.983903294500816,0,0.0519687628442251,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.89,8.0909090909091,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",2299,194,17976,6141,0.0274093812988964,-1.16425813945544,0,0.0359735455666404,"Hispanic"
"2024_posthoc_comparative_evaluation","race_neutral_counselling_logistic",0.9,9,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",1953,156,18322,6179,0.0206313416009019,-1.38068395340098,0,0.0270776818742293,"Hispanic"
"2024_posthoc_comparative_evaluation","race_inclusive_counselling_logistic",0.2,0.25,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",20275,6333,0,2,0.702433295753476,0.702414505824878,0,0.921911220715167,"Hispanic"
"2024_posthoc_comparative_evaluation","race_inclusive_counselling_logistic",0.21,0.265822784810127,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",20275,6333,0,2,0.698667579999905,0.698647600835319,0,0.916968892912329,"Hispanic"
"2024_posthoc_comparative_evaluation","race_inclusive_counselling_logistic",0.22,0.282051282051282,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",20275,6333,0,2,0.694805307432139,0.694784108538336,0,0.911899838755572,"Hispanic"
"2024_posthoc_comparative_evaluation","race_inclusive_counselling_logistic",0.23,0.298701298701299,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",20275,6332,0,3,0.69085394124853,0.690820265792081,0,0.906713853347639,"Hispanic"
