"model","term","estimate","std_error","lower_95","upper_95","odds_ratio","odds_ratio_lower_95","odds_ratio_upper_95","z","p_value"
"race_inclusive_counselling_logistic","maternal_height_cm",0.0439873741049661,0.00153354994212236,0.0409816714499128,0.0469930767600194,1.04496916113421,1.04183301008198,1.04811475270458,28.6833658929227,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000061523975440173
"race_inclusive_counselling_logistic","prepregnancy_weight_kg",-0.018260613758269,0.00160380056221274,-0.0214040050985911,-0.0151172224179469,0.981905101031494,0.978823435018494,0.984996469167548,-11.3858382323268,0.00000000000000000000000000000491929165845802
"race_inclusive_counselling_logistic","prepregnancy_bmi",0.00755968241622837,0.00424835399159507,-0.000766938400874942,0.0158863032333317,1.00758832895609,0.99923335562121,1.01601316142752,1.77943797319725,0.0751679855223217
"race_inclusive_counselling_logistic","total_prior_live_births",0.617706548313064,0.00430826886063655,0.609262496510501,0.626150600115627,1.85466956536452,1.83907457459564,1.87039679858862,143.376973047545,0
"race_inclusive_counselling_logistic","previous_preterm_birth_binary",0.18387746959881,0.014101149372948,0.156239724687213,0.211515214510408,1.20186854863824,1.1691064331735,1.23554876375522,13.039892333285,0.00000000000000000000000000000000000000725594395469282
"race_inclusive_counselling_logistic","prepregnancy_diabetes_binary",-0.554554978810802,0.0333049229913659,-0.619831428381759,-0.489278529239845,0.574327792370976,0.538035127402693,0.613068545695234,-16.6508410469698,0.0000000000000000000000000000000000000000000000000000000000000298379210931923
"race_inclusive_counselling_logistic","prepregnancy_hypertension_binary",-0.374617165942933,0.0239511117245866,-0.421560482312818,-0.327673849573048,0.687552446905595,0.656022309447095,0.720598004729888,-15.6409092926729,0.000000000000000000000000000000000000000000000000000000383216692980773
"race_inclusive_counselling_logistic","gestational_diabetes_binary",-0.0588088695977159,0.0130638227495213,-0.0844134916871927,-0.0332042475082391,0.942886966301152,0.919051157503004,0.967340962429161,-4.5016585669666,0.00000674252343182972
"race_inclusive_counselling_logistic","gestational_hypertension_binary",-0.35309417580096,0.0145997777123414,-0.38170921429944,-0.324479137302481,0.702511030722828,0.682693541864999,0.722903789215635,-24.1849008086257,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000320765826111152
"race_inclusive_counselling_logistic","race_ethnicity_groupMissing",0.127478610647715,0.0380410512468089,0.0529195202699273,0.202037701025503,1.13596057052048,1.05434478832081,1.2238941493061,3.35108012185675,0.000804970084607866
"race_inclusive_counselling_logistic","race_ethnicity_groupNH_AIAN",-0.0375055127786234,0.0444228278468237,-0.124572655449821,0.0495616298925739,0.963189107857862,0.882874113420222,1.05081035154833,-0.844284675166288,0.398510347548422
"race_inclusive_counselling_logistic","race_ethnicity_groupNH_Asian",-0.0702901808723456,0.0142201245882944,-0.098161112921075,-0.0424192488236162,0.932123296306204,0.906502842667128,0.95846785980327,-4.94300738618048,0.000000769265681959766
"race_inclusive_counselling_logistic","race_ethnicity_groupNH_Black",-0.514223310593331,0.0108419351279551,-0.535473112966843,-0.49297350821982,0.597964847267275,0.585392267945909,0.610807450228253,-47.429107859855,0
"race_inclusive_counselling_logistic","race_ethnicity_groupNH_Multiracial",-0.0978201001596431,0.0251048846019313,-0.147024769815463,-0.0486154305038236,0.906812024419217,0.863272594048641,0.952547379935642,-3.89645687326194,0.0000976101791331936
"race_inclusive_counselling_logistic","race_ethnicity_groupNH_NHOPI",-0.0644371910828769,0.0591067187851287,-0.180284231146066,0.0514098489803125,0.93759500173946,0.835032835338242,1.05275427514264,-1.09018386415808,0.275632159736344
"race_inclusive_counselling_logistic","race_ethnicity_groupNH_White",0.0308990459253003,0.00913282616546167,0.0129990355639304,0.0487990562866702,1.03138137647804,1.01308389030469,1.05000933676461,3.38329509020479,0.000716216314537175
